Filepath,File Name,Sample Type,Method,Batch
HILICneg/HEU_Batch1_Sample30_HILIC_neg_SZ_07282023_079.mzML,HEU_Batch1_Sample30_HILIC_neg_SZ_07282023_079.mzML,Unknown,HILICneg,1
HILICneg/Batch2_HEU141_M_HILIC_neg.mzML,Batch2_HEU141_M_HILIC_neg.mzML,Unknown,HILICneg,2
HILICneg/HEU_Batch3_Solvent_Blank_MobileA50B50_HILIC_neg_1_SZ_07062023_001.mzML,HEU_Batch3_Solvent_Blank_MobileA50B50_HILIC_neg_1_SZ_07062023_001.mzML,Solvent_Blank,HILICneg,3
HILICneg/HEU_Batch6_Sample18_HILIC_neg_SZ_07182023_053.mzML,HEU_Batch6_Sample18_HILIC_neg_SZ_07182023_053.mzML,Unknown,HILICneg,6
HILICneg/HEU_Batch1_Qstd_HILIC_neg_2_SZ_07282023_143.mzML,HEU_Batch1_Qstd_HILIC_neg_2_SZ_07282023_143.mzML,Qstd,HILICneg,1
HILICneg/HEU_Batch6_Sample13_HILIC_neg_SZ_07182023_043.mzML,HEU_Batch6_Sample13_HILIC_neg_SZ_07182023_043.mzML,Unknown,HILICneg,6
HILICneg/Batch2_NIST_HILIC_neg_1.mzML,Batch2_NIST_HILIC_neg_1.mzML,NIST,HILICneg,2
HILICneg/HEU_Batch8_Sample39_HILIC_neg_SZ_07252023_099.mzML,HEU_Batch8_Sample39_HILIC_neg_SZ_07252023_099.mzML,Unknown,HILICneg,8
HILICneg/HEU_Batch5_Sample41_HILIC_neg_SZ_07142023_105.mzML,HEU_Batch5_Sample41_HILIC_neg_SZ_07142023_105.mzML,Unknown,HILICneg,5
HILICneg/HEU_Batch1_Sample56_HILIC_neg_SZ_07282023_137.mzML,HEU_Batch1_Sample56_HILIC_neg_SZ_07282023_137.mzML,Unknown,HILICneg,1
HILICneg/HEU_Batch3_Blank_IS_HILIC_neg_1_SZ_07062023_003.mzML,HEU_Batch3_Blank_IS_HILIC_neg_1_SZ_07062023_003.mzML,Blank_IS,HILICneg,3
HILICneg/HEU_Batch6_Sample7_HILIC_neg_SZ_07182023_029.mzML,HEU_Batch6_Sample7_HILIC_neg_SZ_07182023_029.mzML,Unknown,HILICneg,6
HILICneg/HEU_Batch3_Pool_QC_Injection3uL_HILIC_neg_2_SZ_07062023_037.mzML,HEU_Batch3_Pool_QC_Injection3uL_HILIC_neg_2_SZ_07062023_037.mzML,QC,HILICneg,3
